repo,childSha,parentSha,childBranch,timestamp,newHitLines,newNonHitLines,newFileHitLines,newFileNonHitLines,deletedLinesTested,deletedLinesNotTested,deletedFileLinesTested,deletedFileLinesNotTested,oldLinesNewlyTested,oldLinesNoLongerTested,modifiedLinesNewlyHit,modifiedLinesStillHit,modifiedLinesNotHit,nStatementsInBoth,nStatementsInEither,totalStatementsHitNow,totalStatementsHitPrev,totalStatementsNow,totalStatementsPrev,insFilesSrc,insFilesTest,modFilesSrc,modFilesTest,delFilesSrc,delFilesTest,newLinesSrc,newLinesTest,delLinesSrc,delLinesTest,insLinesAllFiles,delLinesAllFiles
F5Networks/k8s-bigip-ctlr,a2fa0c70291c05ae843f92d13d58582ee03fcfb0,edfc4803d7c728c25e4bbc6f4b7c16b9b2ed9c89,(HEAD detached at a2fa0c70),1714458569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,59,0,0,0,81,7,
F5Networks/k8s-bigip-ctlr,edfc4803d7c728c25e4bbc6f4b7c16b9b2ed9c89,bba6ec034ee28e6655c62af1e402d38bb4ad9be2,(HEAD detached at edfc4803),1714029660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,13,0,
F5Networks/k8s-bigip-ctlr,bba6ec034ee28e6655c62af1e402d38bb4ad9be2,2ee42be87022c103e1e49e344b98cc7585d766be,(HEAD detached at bba6ec03),1714020069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,75,0,25,0,75,25,
F5Networks/k8s-bigip-ctlr,2ee42be87022c103e1e49e344b98cc7585d766be,9f782338941b84c5190d13c969079942ff17a7e2,(HEAD detached at 2ee42be8),1714016873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,5,0,9,16,
F5Networks/k8s-bigip-ctlr,9f782338941b84c5190d13c969079942ff17a7e2,48ce54306f54108738f18ac3c5753aa30521429e,(HEAD detached at 9f782338),1713846266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,143,0,12,155,
F5Networks/k8s-bigip-ctlr,c0934efcc07227fdc64bd9c8e17e8cc21a4bc3b2,5f5dabd10c44f7b5e6803c0d24ff9c0f3fdb2224,(HEAD detached at c0934efc),1713787565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,9,
F5Networks/k8s-bigip-ctlr,5f5dabd10c44f7b5e6803c0d24ff9c0f3fdb2224,34b43c48e8d0f41b0d6d0b80644027a9c8286dc3,(HEAD detached at 5f5dabd1),1713073313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,6,0,295,140,345,5,516,368,
F5Networks/k8s-bigip-ctlr,48ce54306f54108738f18ac3c5753aa30521429e,5b553b9a3d258107b80e2950c996de401aa862e0,(HEAD detached at 48ce5430),1712549439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,31,0,1,0,32,1,
F5Networks/k8s-bigip-ctlr,5b553b9a3d258107b80e2950c996de401aa862e0,6ec667a8cbdab91c7001532dec41459eaeb9a018,(HEAD detached at 5b553b9a),1712297798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,110,0,38,0,120,38,
F5Networks/k8s-bigip-ctlr,6ec667a8cbdab91c7001532dec41459eaeb9a018,ec5e3b90c5d26fe9f0ab7e7039557ca9a5ccef4c,(HEAD detached at 6ec667a8),1712225359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,194,0,3,197,
